battery_id,cycle_number,start_time_iso,ambient_temperature,duration_s,v_start,v_end,v_min,v_max,v_mean,v_drop,i_mean,i_min,i_max,t_start,t_end,t_min,t_max,t_mean,temp_rise,temp_rise_rate,energy_wh,re_electrolyte_ohms,rct_charge_transfer_ohms,capacity_ah,nominal_capacity_ah,soh_pct,soh_first_cycle_pct,eol_cycle_80,rul_80,eol_cycle_70,rul_70
B0005,1,2008-04-02T15:25:41,24.0,3690.23,4.1915,3.2772,2.6125,4.1915,3.5298,1.579,-1.8187,-2.018,0.0007,24.33,34.23,24.33,38.98,32.57,14.65,0.003971,6.6087,,,1.85649,2.0,92.824,100.0,75,74,125,124
B0005,2,2008-04-02T19:43:48,24.0,3672.34,4.1898,3.3002,2.5872,4.1898,3.5373,1.6026,-1.8176,-2.0168,0.0029,24.7,34.39,24.69,39.03,32.73,14.34,0.003904,6.586,,,1.84633,2.0,92.316,99.453,75,73,125,123
B0005,3,2008-04-03T00:01:06,24.0,3651.64,4.1882,3.3275,2.6519,4.1882,3.5437,1.5363,-1.8165,-2.0166,0.0015,24.73,34.23,24.73,38.82,32.64,14.08,0.003857,6.5555,,,1.83535,2.0,91.767,98.861,75,72,125,122
B0005,4,2008-04-03T04:16:37,24.0,3631.56,4.1885,3.3142,2.5929,4.1885,3.5437,1.5955,-1.8256,-2.0159,0.0015,24.65,34.41,24.65,38.76,32.51,14.11,0.003885,6.5547,,,1.83526,2.0,91.763,98.857,75,71,125,121
B0005,5,2008-04-03T08:33:25,24.0,3629.17,4.1883,3.3055,2.5474,4.1883,3.5423,1.6409,-1.8261,-2.0174,0.0017,24.52,34.35,24.52,38.67,32.38,14.14,0.003896,6.5521,,,1.83465,2.0,91.732,98.823,75,70,125,120
B0005,6,2008-04-03T12:55:10,24.0,3652.28,4.1888,3.3023,2.5209,4.1888,3.5413,1.6679,-1.8168,-2.0162,0.0025,24.52,34.2,24.51,38.75,32.43,14.23,0.003896,6.5572,,,1.83566,2.0,91.783,98.878,75,69,125,119
B0005,7,2008-04-03T17:17:16,24.0,3650.83,4.1884,3.2937,2.4879,4.1884,3.541,1.7005,-1.8168,-2.0158,0.0023,24.58,34.3,24.58,38.82,32.48,14.24,0.003899,6.5569,,,1.83515,2.0,91.757,98.85,75,68,125,118
B0005,8,2008-04-03T21:28:14,24.0,3572.45,4.1889,3.3162,2.6652,4.1889,3.5541,1.5237,-1.8443,-2.0166,0.0022,24.71,34.76,24.71,38.52,32.41,13.8,0.003864,6.535,,,1.82576,2.0,91.288,98.345,75,67,125,117
B0005,9,2008-04-04T01:38:15,24.0,3550.59,4.189,3.2974,2.6039,4.189,3.5529,1.5852,-1.854,-2.0184,0.0054,24.64,35.05,24.63,38.53,32.35,13.89,0.003912,6.5288,,,1.82477,2.0,91.239,98.292,75,66,125,116
B0005,10,2008-04-04T05:48:08,24.0,3551.25,4.1892,3.2884,2.5529,4.1892,3.5512,1.6364,-1.8536,-2.0161,0.003,24.57,35.03,24.56,38.53,32.28,13.95,0.00393,6.5264,,,1.82461,2.0,91.231,98.283,75,65,125,115
B0005,11,2008-04-04T09:57:19,24.0,3530.25,4.1889,3.2663,2.4724,4.1889,3.5493,1.7165,-1.8634,-2.0161,0.0026,24.44,35.32,24.43,38.54,32.16,14.1,0.003995,6.5223,,,1.82462,2.0,91.231,98.283,75,64,125,114
B0005,12,2008-04-04T17:56:27,24.0,3491.02,4.1899,3.2962,2.6496,4.1899,3.5598,1.5403,-1.873,-2.0169,0.0024,24.74,35.59,24.74,38.52,32.36,13.78,0.003947,6.4974,,,1.8142,2.0,90.71,97.722,75,63,125,113
B0005,13,2008-04-04T22:01:54,24.0,3470.28,4.1893,3.2718,2.5725,4.1893,3.5581,1.6168,-1.8826,-2.0164,0.0019,24.74,35.96,24.73,38.58,32.32,13.85,0.00399,6.4917,,,1.81375,2.0,90.688,97.698,75,62,125,112
B0005,14,2008-04-05T02:20:26,24.0,3470.0,4.1888,3.2649,2.525,4.1888,3.5557,1.6638,-1.8825,-2.0158,0.0023,24.45,35.87,24.45,38.52,32.16,14.07,0.004055,6.4869,,,1.81344,2.0,90.672,97.681,75,61,125,111
B0005,15,2008-04-05T06:25:01,24.0,3450.3,4.1891,3.3091,2.6946,4.1891,3.5627,1.4945,-1.8818,-2.0194,0.0013,24.47,35.53,24.46,38.21,32.04,13.74,0.003983,6.4566,,,1.8026,2.0,90.13,97.097,75,60,125,110
B0005,16,2008-04-05T10:30:32,24.0,3429.41,4.1892,3.2881,2.6401,4.1892,3.5615,1.5491,-1.8922,-2.0164,0.0031,24.33,35.81,24.32,38.2,31.93,13.87,0.004045,6.4509,,,1.80211,2.0,90.105,97.071,75,59,125,109
B0005,17,2008-04-05T14:34:41,24.0,3409.48,4.1889,3.2608,2.5739,4.1889,3.5603,1.615,-1.9028,-2.0165,0.0009,24.36,36.24,24.36,38.32,31.94,13.96,0.004093,6.4495,,,1.80258,2.0,90.129,97.096,75,58,125,108
