battery_id,cycle_number,start_time_iso,ambient_temperature,duration_s,v_start,v_end,v_min,v_max,v_mean,v_drop,i_mean,i_min,i_max,t_start,t_end,t_min,t_max,t_mean,temp_rise,temp_rise_rate,energy_wh,re_electrolyte_ohms,rct_charge_transfer_ohms,capacity_ah,nominal_capacity_ah,soh_pct,soh_first_cycle_pct,eol_cycle_80,rul_80,eol_cycle_70,rul_70
B0018,1,2008-07-07T15:15:28,24.0,3434.89,4.1881,3.0532,2.4722,4.1882,3.5275,1.7159,-1.9542,-2.013,0.0015,23.82,37.21,23.82,38.1,31.77,14.28,0.004158,6.6059,0.065158,0.095554,1.855,2.0,92.75,100.0,45,44,97,96
B0018,2,2008-07-07T21:53:06,24.0,3425.49,4.1865,3.0882,2.4114,4.1867,3.5348,1.7751,-1.9474,-2.0126,0.0031,24.31,37.16,24.31,38.15,31.92,13.84,0.004039,6.5804,0.062696,0.091619,1.8432,2.0,92.16,99.363,45,43,97,95
B0018,3,2008-07-08T02:56:08,24.0,3410.38,4.1888,3.0769,2.3944,4.1888,3.5382,1.7944,-1.9521,-2.0118,0.0022,23.74,36.68,23.74,37.53,31.32,13.78,0.004041,6.5721,0.061378,0.091883,1.8396,2.0,91.98,99.17,45,42,97,94
B0018,4,2008-07-08T07:58:55,24.0,3404.72,4.1889,3.1024,2.3999,4.1889,3.5377,1.7889,-1.9461,-2.0135,0.002,23.23,36.04,23.23,37.06,30.82,13.83,0.004063,6.542,0.061337,0.091412,1.83067,2.0,91.534,98.688,45,41,97,93
B0018,5,2008-07-08T18:57:48,24.0,3417.64,4.1899,3.1176,2.3851,4.1899,3.5427,1.8047,-1.9413,-2.0145,0.0018,24.42,37.08,24.41,38.21,31.95,13.79,0.004035,6.5616,0.061434,0.092019,1.8327,2.0,91.635,98.798,45,40,97,92
B0018,6,2008-07-08T22:57:17,24.0,3411.77,4.1903,3.114,2.3717,4.1905,3.5451,1.8186,-1.94,-2.0125,0.0027,24.7,37.05,24.7,38.17,32.02,13.48,0.003951,6.5522,0.061434,0.092019,1.82853,2.0,91.426,98.573,45,39,97,91
B0018,7,2008-07-09T02:56:41,24.0,3399.52,4.19,3.1693,2.4964,4.1903,3.5475,1.6936,-1.9336,-2.013,0.0024,24.31,36.35,24.31,37.64,31.63,13.33,0.00392,6.5108,0.061434,0.092019,1.8212,2.0,91.06,98.178,45,38,97,90
B0018,8,2008-07-09T06:55:54,24.0,3388.75,4.1903,3.1647,2.4375,4.1903,3.5448,1.7528,-1.9332,-2.0253,0.0073,23.92,36.13,23.92,37.38,31.29,13.46,0.003972,6.4853,0.061434,0.092019,1.81517,2.0,90.759,97.853,45,37,97,89
B0018,9,2008-07-09T11:26:41,24.0,3380.41,4.1883,3.1669,2.4152,4.1885,3.5435,1.7731,-1.9326,-2.0164,0.0013,23.65,36.04,23.65,37.29,31.11,13.63,0.004033,6.4642,0.062464,0.087845,1.8043,2.0,90.215,97.267,45,36,97,88
B0018,10,2008-07-10T16:34:39,24.0,3404.14,4.1915,3.1442,2.3774,4.1918,3.5431,1.814,-1.9388,-2.0138,0.0019,23.6,36.35,23.6,37.52,31.13,13.93,0.004091,6.5292,0.059112,0.089898,1.8231,2.0,91.155,98.28,45,35,97,87
B0018,11,2008-07-10T20:33:58,24.0,3396.14,4.1907,3.1635,2.3887,4.1907,3.5452,1.802,-1.9319,-2.0131,0.0029,24.13,36.42,24.13,37.72,31.51,13.6,0.004003,6.4963,0.059112,0.089898,1.81213,2.0,90.606,97.688,45,34,97,86
B0018,12,2008-07-11T00:30:25,24.0,3384.09,4.1902,3.1975,2.4323,4.1903,3.545,1.7579,-1.925,-2.0126,0.0026,24.01,35.99,24.01,37.41,31.31,13.4,0.00396,6.4506,0.059112,0.089898,1.80469,2.0,90.235,97.288,45,33,97,85
B0018,13,2008-07-11T04:28:49,24.0,3370.66,4.1896,3.2344,2.4975,4.1897,3.5441,1.6921,-1.918,-2.0119,0.0032,23.55,35.36,23.55,36.95,30.89,13.39,0.003973,6.3998,0.059112,0.089898,1.79084,2.0,89.542,96.541,45,32,97,84
B0018,14,2008-07-11T08:59:08,24.0,3357.8,4.1881,3.2418,2.4788,4.1884,3.5413,1.7094,-1.9174,-2.0137,0.0038,23.09,35.09,23.09,36.71,30.54,13.62,0.004055,6.3686,0.061055,0.087955,1.78347,2.0,89.174,96.144,45,31,97,83
B0018,15,2008-07-11T14:27:05,24.0,3363.01,4.1935,3.2273,2.3858,4.1935,3.5412,1.8077,-1.9181,-2.013,0.002,23.3,35.58,23.3,37.13,30.83,13.83,0.004112,6.3815,0.061009,0.087107,1.78094,2.0,89.047,96.007,45,30,97,82
B0018,16,2008-07-11T18:25:27,24.0,3357.73,4.1902,3.2384,2.3729,4.1902,3.5413,1.8174,-1.9106,-2.0148,0.002,24.0,35.99,24.0,37.69,31.45,13.69,0.004076,6.3499,0.061009,0.087107,1.77121,2.0,88.56,95.483,45,29,97,81
B0018,17,2008-07-11T22:22:05,24.0,3344.19,4.1908,3.2524,2.4087,4.1908,3.5427,1.7821,-1.9094,-2.0129,0.0031,24.23,35.93,24.22,37.63,31.52,13.4,0.004008,6.3221,0.061009,0.087107,1.76863,2.0,88.432,95.344,45,28,97,80
B0018,18,2008-07-12T02:18:11,24.0,3339.97,4.1897,3.2984,2.4963,4.1897,3.5413,1.6934,-1.8961,-2.0117,0.0057,23.8,35.14,23.8,37.15,31.11,13.36,0.003999,6.2663,0.061009,0.087107,1.75363,2.0,87.682,94.535,45,27,97,79
B0018,19,2008-07-12T06:45:43,24.0,3327.64,4.1876,3.2991,2.42,4.1876,3.535,1.7676,-1.8948,-2.0121,0.0035,23.13,34.75,23.13,36.79,30.59,13.66,0.004105,6.2294,0.060649,0.087549,1.74622,2.0,87.311,94.136,45,26,97,78
B0018,20,2008-07-12T11:15:36,24.0,3312.84,4.191,3.2829,2.3587,4.191,3.5327,1.8323,-1.9002,-2.0113,0.0036,22.78,34.67,22.78,36.54,30.24,13.76,0.004154,6.2157,0.062195,0.08571,1.73766,2.0,86.883,93.674,45,25,97,77
B0018,21,2008-07-12T15:13:28,24.0,3302.03,4.1907,3.3144,2.4458,4.1907,3.5333,1.7449,-1.8937,-2.0123,0.0031,22.58,34.32,22.58,36.37,30.1,13.79,0.004176,6.1736,0.062195,0.08571,1.73152,2.0,86.576,93.343,45,24,97,76
B0018,22,2008-07-12T18:52:45,24.0,3305.55,4.1859,3.3371,2.3809,4.1859,3.5274,1.805,-1.874,-2.0124,0.0027,22.71,34.05,22.71,36.53,30.25,13.81,0.004178,6.1074,0.062195,0.08571,1.70859,2.0,85.43,92.107,45,23,97,75
B0018,23,2008-07-12T22:50:29,24.0,3289.56,4.1878,3.3454,2.437,4.1881,3.5296,1.7508,-1.8792,-2.0123,0.0029,22.66,34.14,22.66,36.48,30.21,13.81,0.004199,6.0976,0.062195,0.08571,1.71147,2.0,85.573,92.262,45,22,97,74
B0018,24,2008-07-13T03:19:05,24.0,3283.8,4.1882,3.3565,2.4671,4.1883,3.529,1.721,-1.8781,-2.0123,0.0038,22.51,34.04,22.51,36.38,30.13,13.87,0.004223,6.0819,0.061065,0.088485,1.7075,2.0,85.375,92.048,45,21,97,73
B0018,25,2008-07-14T13:08:20,24.0,3325.24,4.1896,3.2913,2.4129,4.1896,3.5323,1.7767,-1.8994,-2.0125,0.0019,22.62,34.67,22.61,36.64,30.22,14.02,0.004217,6.235,0.059597,0.086841,1.74924,2.0,87.462,94.298,45,20,97,72
B0018,26,2008-07-14T17:03:45,24.0,3317.55,4.1902,3.2997,2.3498,4.1902,3.5324,1.8404,-1.8927,-2.013,0.0029,23.43,35.35,23.43,37.38,30.98,13.95,0.004205,6.2013,0.059597,0.086841,1.73277,2.0,86.638,93.411,45,19,97,71
B0018,27,2008-07-14T20:57:32,24.0,3311.77,4.1889,3.3438,2.4905,4.1892,3.5363,1.6985,-1.8784,-2.0136,0.0038,23.97,35.22,23.96,37.6,31.42,13.63,0.004116,6.1489,0.059597,0.086841,1.72223,2.0,86.112,92.842,45,18,97,70
B0018,28,2008-07-15T00:49:58,24.0,3305.22,4.1894,3.3582,2.4651,4.1896,3.5335,1.7243,-1.8708,-2.0157,0.0038,23.96,35.05,23.96,37.56,31.38,13.6,0.004114,6.1085,0.059597,0.086841,1.71185,2.0,85.592,92.283,45,17,97,69
B0018,29,2008-07-15T05:14:47,24.0,3295.45,4.1875,3.3555,2.3631,4.1877,3.527,1.8243,-1.8697,-2.0125,0.0035,23.63,35.0,23.62,37.52,31.17,13.89,0.004214,6.0749,0.062871,0.085006,1.69927,2.0,84.963,91.605,45,16,97,68
B0018,30,2008-07-15T09:43:28,24.0,3287.0,4.1895,3.3807,2.4791,4.1902,3.5293,1.7105,-1.8624,-2.0128,0.0016,23.48,34.54,23.48,37.22,30.99,13.73,0.004178,6.0373,0.060951,0.085443,1.69404,2.0,84.702,91.323,45,15,97,67
B0018,31,2008-07-15T13:36:47,24.0,3276.92,4.1898,3.3956,2.4919,4.1898,3.5278,1.6979,-1.8548,-2.0133,0.0022,23.47,34.51,23.47,37.33,31.06,13.86,0.004231,5.9922,0.060951,0.085443,1.6819,2.0,84.095,90.668,45,14,97,66
B0018,32,2008-07-15T17:29:47,24.0,3268.69,4.1896,3.3913,2.4337,4.1898,3.5257,1.7559,-1.8539,-2.0132,0.0024,23.77,34.91,23.77,37.73,31.37,13.96,0.004271,5.9724,0.060951,0.085443,1.67698,2.0,83.849,90.403,45,13,97,65
B0018,33,2008-07-15T21:21:30,24.0,3260.59,4.1878,3.404,2.4425,4.1881,3.5244,1.7453,-1.8457,-2.0132,0.0022,24.0,34.89,24.0,37.85,31.56,13.85,0.004246,5.93,0.060951,0.085443,1.66552,2.0,83.276,89.785,45,12,97,64
B0018,34,2008-07-16T01:45:13,24.0,3258.81,4.1863,3.4188,2.4383,4.1864,3.5208,1.748,-1.8383,-2.0141,0.004,23.7,34.53,23.7,37.67,31.32,13.97,0.004288,5.8939,0.06279,0.086111,1.65719,2.0,82.86,89.336,45,11,97,63
B0018,35,2008-07-16T06:12:34,24.0,3243.42,4.1901,3.4149,2.4157,4.1902,3.5195,1.7744,-1.8436,-2.0127,0.0031,23.49,34.51,23.49,37.53,31.1,14.04,0.004329,5.8818,0.062054,0.084104,1.64822,2.0,82.411,88.853,45,10,97,62
